Stock number,Artist's reference number,Title,Year,Medium,Dimensions,Signed and dated,Series,Additional information,Status,Availability,Location,Location (detail),Condition
HC0254,,0309-07 (C3 AW52),2003,"Pigment ink on paper.
Includes jpeg, minted as a ERC-721 token upon acquisition.","49.5 x 55.9 cm; 19 1/2 x 22 in",,,,3rd Party,Potentially available,HCT,LA,
HC0253,,0309-03s (C3 AW50),2003,"Pigment ink on paper
Includes jpeg, minted as a ERC-721 token upon acquisition.","49.5 x 55.9 cm; 19 1/2 x 22 in",,,,3rd Party,Potentially available,HCT,LA,
HC0252,,Untitled (Computer Drawing(,1983,Digitally drawn black ink on wove paper,"Image size: 49 x 57 cm, 19 1/4 x 22 1/2 in; Paper size: 57 x 76 cm, 22 1/2 x 29 7/8 in; ","signed, dated and inscribed in pencil",,,Stock,Available,London Gallery,Basement - C7,
HC1500,i23-0500,"Untitled, 040606 (i23-0500)",2004,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Media was created using Kodak paper
Media has stickers on reverse with the year (some stickers reference
of edition series or titles listed)
Landscape orientation
Image size: 7 7/8 x 9 7/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1496,i23-0496,Untitled (i23-0496),1990-1999,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in","419 written on reverse

p.11 written on reverse",Amsterdam Suite,"Image: 7 x 3 3/8
Toner on light weight card stock
""419"" is presumably the old file number and ""p.11"" 
most likely means print number 11 for that year or for 
that current version of AARON
This needs to be double checked with the estate and compared to 
AARON's digital record (which Cohen dubbed Pix)",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1495,i23-0495,Untitled (i23-0495),1990-1999,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",405 written on reverse,Amsterdam Suite,"Image: 6 1/4 x 8 1/2
Toner on light weight card stock
The number ""405"" probably references the old file number 
The estate needs to confirm this though",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1494,i23-0494,Untitled (i23-0494),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 7 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1493,i23-0493,Untitled (i23-0493),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/2 x 7 3/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1492,i23-0492,Untitled (i23-0492),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1491,i23-0491,Untitled (i23-0491),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1490,i23-0490,Untitled (i23-0490),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 7 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1489,i23-0489,Untitled (i23-0489),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 7 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1488,i23-0488,Untitled (i23-0488),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 7 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1487,i23-0487,Untitled (i23-0487),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 7 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1486,i23-0486,Untitled (i23-0486),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 7 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1485,i23-0485,Untitled (i23-0485),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1484,i23-0484,Untitled (i23-0484),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8 1/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1483,i23-0483,Untitled (i23-0483),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 7 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1482,i23-0482,Untitled (i23-0482),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1481,i23-0481,Untitled (i23-0481),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 7 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1480,i23-0480,Untitled (i23-0480),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/2 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1479,i23-0479,Untitled (i23-0479),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1478,i23-0478,Untitled (i23-0478),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/4 x 7",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1477,i23-0477,Untitled (i23-0477),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/2 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1476,i23-0476,Untitled (i23-0476),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/2 x 8 1/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1475,i23-0475,Untitled (i23-0475),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 5/8 x 8 1/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1474,i23-0474,Untitled (i23-0474),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1473,i23-0473,Untitled (i23-0473),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1472,i23-0472,Untitled (i23-0472),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/4 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1471,i23-0471,Untitled (i23-0471),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,Amsterdam Suite,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1470,i23-0470,Untitled (i23-0470),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1469,i23-0469,Untitled (i23-0469),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8 1/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1468,i23-0468,Untitled (i23-0468),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 x 7 5/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1467,i23-0467,Untitled (i23-0467),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1466,i23-0466,Untitled (i23-0466),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 7 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1465,i23-0465,Untitled (i23-0465),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 3/8 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1464,i23-0464,Untitled (i23-0464),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Toner ink on paper
Image: 10 1/2 x 8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
